date,vehicle,property,personal,credit card,consumer loan
2011-01-01,0.527,0,0.128,0,0.003
2011-02-01,0.231,0.788,0.183,0,0
2011-03-01,0.223,0.833,0.763,0,0
2011-04-01,0.62,0.172,0.016,0,0.006
2011-05-01,0.959,1.227,0.209,0,0
2011-06-01,0.274,0.751,0.136,0,0
2011-07-01,0.226,0.25,0,0,0
2011-08-01,0.235,0.498,0.267,0,0
2011-09-01,0.204,0.068,0.02,0,0
2011-10-01,0.007,0.13,0.028,0,0
2011-11-01,0.1,0.61,0.061,0,0
2011-12-01,0.162,2.562,0.225,0,0
2012-01-01,0.271,5.841,0.016,0,0.003
2012-02-01,0.225,0.807,0.44,0,0
2012-03-01,1.135,7.261,0.15,0,0
2012-04-01,0.797,6.629,0.006,0,0
2012-05-01,1.254,4.153,0.2,0,0.002
2012-06-01,0.655,2.643,0.076,0,0.003
2012-07-01,1.735,11.44,0.094,0,0
2012-08-01,0.218,1.15,0.01,0,0
2012-09-01,0.774,7.205,0.007,0,0
2012-10-01,0.531,11.787,0,0,0
2012-11-01,0.285,4.043,0.21,0,0
2012-12-01,0.34,3.277,0.148,0,0
2013-01-01,0.146,6.418,0.106,0,0
2013-02-01,0,4.036,0,0,0
2013-03-01,0.25,3.903,0.006,0,0
2013-04-01,0.566,8.893,0.053,0,0
2013-05-01,0.229,7.193,0.511,0,0
2013-06-01,0.285,17.536,0.118,0,0
2013-07-01,0.403,6.356,0.285,0,0
2013-08-01,0,4.704,0.409,0,0
2013-09-01,1.093,6.394,0.006,0,0
2013-10-01,0.048,3.865,0.205,0,0
2013-11-01,0.498,4.672,0.616,0,0
2013-12-01,0.275,3.844,0.03,0,0
2014-01-01,0.358,2.479,0.207,0,0
2014-02-01,0.097,5.659,0.027,0,0
2014-03-01,1.131,6.489,0,0,0
2014-04-01,0.862,1.588,0.314,0,0
2014-05-01,0.231,4.18,0.076,0,0
2014-06-01,0.127,8.811,0.137,0,0
2014-07-01,0.523,6.214,1.058,0,0
2014-08-01,0,9.675,0.223,0,0
2014-09-01,0.544,4.762,0.921,0,0
2014-10-01,0,1.959,0.012,0,0
2014-11-01,0.053,10.91,0.018,0,0
2014-12-01,0.034,8.741,0.006,0,0
2015-01-01,0.109,3.782,0.186,0,0
2015-02-01,0.066,2.297,0.204,0,0
2015-03-01,0,0.89,0.204,0,0
2015-04-01,0.243,4.805,0.141,0,0
2015-05-01,0,0,0.37,0,0
2015-06-01,0,0,0.3,0,0
2015-07-01,0,0.065,0.343,0,0
2015-08-01,0,0,0,0,0
2015-09-01,0,0,0.392,0,0
2015-10-01,0,0,0,0,0
2015-11-01,0,0,0,0,0
2015-12-01,0,0,0.015,0,0
2016-01-01,0,0,0.734,0,0
2016-02-01,0.434,0.35,0,0,0
2016-03-01,0.231,0,0.20738,0,0
2016-04-01,0.357,0,0,0,0
2016-05-01,0.35,0.618,0,0,0
2016-06-01,0.907,0,0,0,0
2016-07-01,1.08,0.871,0.14,0,0
2016-08-01,1.709,1.319,0.135,0,0
2016-09-01,0,0,12.059,0,0
2016-10-01,0.25,0,0.064,0,0
2016-11-01,0.185,0,0.206,0,0
2016-12-01,0.023,0,0.36,0,0
2017-01-01,0,0,0.365,0,0
2017-02-01,0.3,0,0,0,0
2017-03-01,0.499,0.339,0,0,0
2017-04-01,0.15,0,0,0,0
2017-05-01,0.15,0.78,0,0,0
2017-06-01,1.055,0,0.312,0,0
2017-07-01,0.238,0,0.06,0,0
2017-08-01,0.553,0,50,0,0
2017-09-01,0.15,0.214,0.068,0,0
2017-10-01,0,0.753,0,0,0
2017-11-01,0.35,0,0.067,0,0
2017-12-01,0,0.358,0,0,0
2018-01-01,0,0.305,0.453,0,0
2018-02-01,0,0,30.26,0,0
2018-03-01,0.969,0,0.036,0,0
2018-04-01,0.336,0.262,0,0,0
2018-05-01,0.885,0.857,0.328,0,0
2018-06-01,0.815,0,0.357,0,0
2018-07-01,1.211,0,0.351,0,0
2018-08-01,0.939,0.671,0.694,0,0
2018-09-01,0,0,0,0,0
2018-10-01,0.25,0,0.067,0,0.003
2018-11-01,0.773,0,0.05,0,0
2018-12-01,0.15,0,0.287,0,0
2019-01-01,0.62,0,0,0,0
2019-02-01,0,0,0,0,0
2019-03-01,0.77,4.34,1.314,0,0
2019-04-01,2.03,0,0.249,0,0
2019-05-01,0.15,1.1,0.066,0,0
2019-06-01,0.152,1.73,0,0,0
2019-07-01,0,2.398,0,0,0
2019-08-01,0.426,4.862,0,0,0
2019-09-01,0.403,3.7,0.001,0,0.001
2019-10-01,1.39,3.026,4.563,0,0
2019-11-01,0.226,2.344,0.06,0,0.001
2019-12-01,0.15,1.265,0.432,0,0
2020-01-01,0,2.787,0.094,0,0
2020-02-01,0.748,3.949,0,0,0
2020-03-01,0.692,0.652,0,0,0
2020-04-01,0,0,0,0,0
2020-05-01,0.25,0,0,0,0
2020-06-01,0.838,1.164,0,0,0
2020-07-01,0.502,1.326,0.239,0,0
2020-08-01,0.298,1.409,0,0,0
2020-09-01,0.575,3.685,0.006,0,0
2020-10-01,0.455,1.761,0.066,0,0
2020-11-01,0.856,0.813,0.062,0,0.003
2020-12-01,0,2.134,0,0,0
